genotype,food,no_fly,tube_w,tube_p_fly,fly_total,fly_per,BCA,mBCA,TAG,GLC,Glycogen,NADH,NAD,NADPH,NADP,NADH_BCA,NAD_BCA,NADPH_BCA,NADP_BCA,TAG_BCA,Glc_BCA,Glc_TAG,Gly_BCA,Block
OO,IV,15,1.0393,1.0519,12.6,0.84,2234.59,2046.4655,201.481,532.531,116.854,0.672,5.453,0.79,1.81,0.000328371037772,0.00266459415026,0.000386031428333,0.000884451753523,0.0984531622937,0.260219876661,2.6430829706,0.0571004006664,1
OO,IV,15,1.0393,1.0519,12.6,0.84,1858.341,2046.4655,180.857,514.125,180.899,0.641,5.075,0.792,1.687,0.000313222969065,0.00247988544151,0.000387008723089,0.000824348126074,0.0883752987773,0.251225833028,2.84271551557,0.0883958219672,1
OO,IV,15,1.0413,1.0535,12.2,0.813333333333,1630.312,1561.903,176.732,592.352,119.101,0.387,7.241,0.743,1.728,0.000247774669746,0.00463601132721,0.000475701756127,0.00110634271142,0.113151713007,0.37925018391,3.3516963538,0.0762537750424,1
OO,IV,15,1.0413,1.0535,12.2,0.813333333333,1493.494,1561.903,160.232,594.652,169.663,0.64,5.602,0.717,1.611,0.000409756559786,0.00358665038738,0.000459055395886,0.00103143409034,0.1025876767,0.380722746547,3.71119376903,0.108625823755,1
OO,V,15,1.0171,1.0294,12.3,0.82,1938.152,1875.4435,1042.96,504.922,617.978,0.628,4.826,0.454,0.987,0.00033485412917,0.00257325800537,0.000242076074273,0.000526275518297,0.556113793884,0.269228051925,0.484124031602,0.329510326491,1
OO,V,15,1.0171,1.0294,12.3,0.82,1812.735,1875.4435,956.337,514.125,834.831,0.605,4.077,0.456,0.901,0.000322590363293,0.00217388580354,0.000243142488697,0.000480419698061,0.509925785554,0.274135157897,0.537598147933,0.445137910046,1
OO,V,15,1.008,1.0196,11.6,0.773333333333,2154.78,2074.9695,704.719,470.41,723.596,0.743,3.206,0.563,0.815,0.000358077552465,0.00154508295182,0.000271329289418,0.000392776857684,0.339628606589,0.226706946777,0.667514285836,0.348726089709,1
OO,V,15,1.008,1.0196,11.6,0.773333333333,1995.159,2074.9695,646.97,498.02,904.494,0.726,5.102,0.559,0.782,0.000349884660955,0.00245883132258,0.00026940155024,0.000376873009459,0.31179735413,0.240013166459,0.769772941558,0.435907130201,1
O2,IV,15,1.0212,1.0351,13.9,0.926666666667,2074.97,1978.057,358.227,663.676,853.933,1.128,7.557,1.192,1.853,0.000570256569957,0.00382041569075,0.00060261155265,0.000936777858272,0.181100443516,0.335519148336,1.85266883847,0.431702928682,1
O2,IV,15,1.0212,1.0351,13.9,0.926666666667,1881.144,1978.057,325.228,665.977,1037.079,1.09,10.705,1.179,1.771,0.000551045798984,0.00541187640194,0.00059603944679,0.000895323036697,0.164417911112,0.336682411073,2.04772344325,0.524291767123,1
O2,IV,15,1.0222,1.0354,13.2,0.88,1972.356,1841.239,407.726,707.391,1238.202,1.099,6.39,1.227,1.516,0.000596880687407,0.00347048916518,0.000666399093219,0.000823358618843,0.22144110569,0.384192926611,1.73496661974,0.672483039953,1
O2,IV,15,1.0222,1.0354,13.2,0.88,1710.122,1841.239,362.352,698.188,1183.146,1.084,9.707,1.185,1.369,0.000588733999226,0.0052719934783,0.000643588366312,0.000743521074668,0.196797917055,0.379194661855,1.9268225372,0.642581435653,1
O2,V,15,1.009,1.0219,12.9,0.86,2565.234,2479.7225,976.962,654.473,802.247,0.731,3.89,0.5,1.076,0.000294791050208,0.00156872391971,0.000201635465259,0.000433919521237,0.39398037482,0.263929935709,0.669906301371,0.323522894195,1
O2,V,15,1.009,1.0219,12.9,0.86,2394.211,2479.7225,882.089,665.977,1003.371,0.672,7.669,0.468,0.92,0.000270998065308,0.00309268476614,0.000188730795482,0.000371009256076,0.355720851829,0.268569164493,0.754999778934,0.404630356824,1
O2,V,15,1.0002,1.0132,13.0,0.866666666667,2736.256,2599.438,1282.204,470.41,964.045,0.892,3.376,0.655,0.828,0.000343151096506,0.0012987422666,0.000251977542838,0.00031853039003,0.493262005095,0.180966039582,0.366876097719,0.370866702726,1
O2,V,15,1.0002,1.0132,13.0,0.866666666667,2462.62,2599.438,1162.582,486.516,1189.888,0.883,6.915,0.633,0.781,0.000339688809658,0.002660190395,0.000243514174987,0.000300449558712,0.4472435965,0.187161994246,0.418478868587,0.457748174798,1
2O,IV,15,1.0189,1.0316,12.7,0.846666666667,2633.643,2559.533,424.226,562.442,1310.112,1.45,4.572,1.357,1.179,0.000566509593742,0.00178626335351,0.000530174840488,0.000460630904153,0.165743516493,0.219743992361,1.32580747055,0.511855873708,1
2O,IV,15,1.0189,1.0316,12.7,0.846666666667,2485.423,2559.533,378.852,514.125,1246.067,1.099,4.839,1.257,1.223,0.00042937520243,0.00189057925801,0.000491105213334,0.000477821540101,0.148016063868,0.200866720609,1.35706027684,0.486833730997,1
2O,IV,15,1.0017,1.0141,12.4,0.826666666667,2736.256,2656.4455,552.097,615.36,1164.045,0.983,9.972,1.483,0.849,0.000370043353045,0.00375388841969,0.000558264794064,0.000319600006851,0.207832985845,0.231647891892,1.11458674834,0.438196454623,1
2O,IV,15,1.0017,1.0141,12.4,0.826666666667,2576.635,2656.4455,440.725,567.043,1228.09,0.979,5.863,1.398,0.867,0.000368537581516,0.0022070846174,0.000526267149091,0.000326375978728,0.165907789187,0.21345930116,1.28661410176,0.462305739003,1
2O,V,15,1.0394,1.0509,11.5,0.766666666667,2394.211,2308.7,915.088,435.899,1840.449,0.77,7.555,0.673,0.765,0.000333521029151,0.00327240438342,0.000291506042362,0.000331355308182,0.396365053926,0.188807120891,0.476346537164,0.797179798155,1
2O,V,15,1.0394,1.0509,11.5,0.766666666667,2223.189,2308.7,824.341,435.899,1825.843,0.778,6.895,0.623,0.828,0.0003369861827,0.00298652921558,0.000269848832676,0.000358643392385,0.357058517781,0.188807120891,0.52878481114,0.790853294062,1
